year_spring, Extinct, Extirpated, Endangered, Threatened, Special concern, Totals
2019,  18,  22,   356,  189,  232,   817
2018, 18,  22,   338,  183,  228,   789 
2017, 16,  23, 321,  172,  219,   751 
2016 , 15,  23, 320,  172,  209, 739 
2015,  15,  23, 316,  167,  205, 726 
2014,  15,  22, 306,  165,  200, 708 
2013,  15,  22, 298,  164,  192, 691 
2012 ,  15,  23, 287,  161,  179, 665 
2011,  14,  23, 278,  158,  176, 649 
2010 ,  13,  23, 262,  151,  166, 615 
2009,  13,  23, 244,  145,  160, 585 
2008,  13,  22, 234,  143,  152, 564 
2007 ,  13,  22, 222,  139,  157, 553
2006,   13, 22, 205,  136,  154, 530 
2005,  13,  22, 184,  129,  153,   501
2004,  12,  21, 169,  114,  140, 456 
2003,  12,  21, 153,  102,  143, 431 
2002,  11,  19, 125,  100,  147, 402 
2001,  12,  16, 115,  82, 155, 380 
